iter	RMSE
0	13.17721204
1	12.84692353
2	12.4721104
3	12.23922006
4	11.97946725
5	11.68814518
6	11.43760331
7	11.26648747
8	11.11468524
9	10.92488128
10	10.7763823
11	10.61954815
12	10.48279776
13	10.34391092
14	10.2216181
15	10.08332375
16	10.00225443
17	9.908335092
18	9.823533452
19	9.742354369
20	9.652417271
21	9.587027715
22	9.494799288
23	9.452384733
24	9.413994243
25	9.295326408
26	9.243005248
27	9.189139073
28	9.141928068
29	9.105341469
30	9.063242033
31	9.011909238
32	8.987463122
33	8.959501377
34	8.92296656
35	8.892528316
36	8.846711162
37	8.767906687
38	8.672785542
39	8.644492455
40	8.619526833
41	8.591216772
42	8.522778042
43	8.504633896
44	8.44817075
45	8.413966269
46	8.392035991
47	8.367040309
48	8.325209547
49	8.300924816
50	8.252058499
51	8.211298748
52	8.186642831
53	8.16813465
54	8.144398103
55	8.108169422
56	8.091568715
57	8.070473497
58	8.045423699
59	8.021181347
60	8.007974542
61	7.905996924
62	7.887999874
63	7.871881683
64	7.846651989
65	7.758181827
66	7.733966687
67	7.724205103
68	7.696657397
69	7.674924993
70	7.657477222
71	7.645650127
72	7.63313758
73	7.621010298
74	7.605708619
75	7.586498878
76	7.552930686
77	7.507530637
78	7.499178267
79	7.491881345
80	7.476187895
81	7.469233894
82	7.449658556
83	7.382946074
84	7.378044477
85	7.366228346
86	7.346778824
87	7.295602122
88	7.283704263
89	7.266711506
90	7.261629836
91	7.253707847
92	7.215383024
93	7.187950194
94	7.179493665
95	7.13795544
96	7.127089859
97	7.112066634
98	7.097519179
99	7.088680015
100	7.073169305
101	7.028559042
102	6.996868085
103	6.972032049
104	6.963349555
105	6.940472351
106	6.931757202
107	6.900712626
108	6.839203581
109	6.819958784
110	6.807627851
111	6.797996476
112	6.779534349
113	6.75489369
114	6.745202093
115	6.730599119
116	6.727678264
117	6.7200086
118	6.702610962
119	6.69238487
120	6.644358027
121	6.641348846
122	6.639430802
123	6.61740285
124	6.597643977
125	6.58697322
126	6.578680924
127	6.564317937
128	6.534168501
129	6.511919624
130	6.505492763
131	6.493335285
132	6.487467874
133	6.484683528
134	6.435168961
135	6.426515064
136	6.423852192
137	6.411825582
138	6.36938544
139	6.367193924
140	6.346894058
141	6.335957451
142	6.333792824
143	6.320809186
144	6.315366111
145	6.303537991
146	6.295718697
147	6.27602152
148	6.265733935
149	6.264157167
150	6.257798834
151	6.246632762
152	6.236717405
153	6.197873244
154	6.176816615
155	6.164534467
156	6.153668214
157	6.138259408
158	6.129526236
159	6.118036164
160	6.112960432
161	6.107235702
162	6.086209707
163	6.083987272
164	6.074466556
165	6.066383016
166	6.061323597
167	6.059347166
168	6.049362989
169	6.019604983
170	6.007008401
171	6.000612281
172	5.993022543
173	5.958349986
174	5.951404421
175	5.946319862
176	5.94535821
177	5.932932333
178	5.922304782
179	5.903992392
180	5.896536121
181	5.886653189
182	5.86540007
183	5.858512401
184	5.857320283
185	5.85090772
186	5.841438252
187	5.839308956
188	5.832141398
189	5.824222919
190	5.820867522
191	5.816717367
192	5.801622309
193	5.798954233
194	5.779971682
195	5.747479554
196	5.745755951
197	5.727858195
198	5.724176885
199	5.71911341
200	5.691028762
201	5.681147665
202	5.674135974
203	5.661501403
204	5.643660567
205	5.642560148
206	5.624131643
207	5.622795967
208	5.61964445
209	5.613915315
210	5.612795465
211	5.606386814
212	5.584912421
213	5.576736242
214	5.570541731
215	5.566483447
216	5.56568748
217	5.555958293
218	5.554398997
219	5.547740973
220	5.5385524
221	5.537939242
222	5.524334279
223	5.511500544
224	5.508570945
225	5.501011439
226	5.48142374
227	5.475599164
228	5.472933402
229	5.455993153
230	5.45027654
231	5.436177038
232	5.412665374
233	5.400941277
234	5.398844542
235	5.393410569
236	5.392726872
237	5.381530701
238	5.366313246
239	5.365804806
240	5.365253798
241	5.359844728
242	5.350347692
243	5.347908237
244	5.347403879
245	5.340616523
246	5.317271128
247	5.305647184
248	5.296622318
249	5.286753476
