name,type,size,amount,non_veg,veg,queued_orders,chef_experience,workedHrs,time
porkKotthu,main,xl,2,1,0,8,senior,3,40
cilli cuttle fish,appetizer,xl,3,0,1,1,junior,2,13
mixedFriedRice,main,nm,1,1,0,0,junior,1,15
garlicBread,bites,nm,5,0,1,1,junior,0.5,13
chickenFriedRice,main,xl,4,1,0,0,junior,6,40
SweetandsourPork,main,lg,1,1,0,1,junior,5,35
chickenlasange,main,lg,5,1,0,2,senior,7,50
roastedCrabs,appetizer,nm,5,1,0,1,junior,2,25
 fried noodles with vegetables ,main,lg,1,0,1,1,junior,1,24
Beef Shawarma,bites,lg,3,1,0,2,junior,0,23
mango pudding,dessert,nm,1,0,1,1,junior,3,20
Vegetable Chopsuey Rice ,main,nm,2,0,1,2,senior,1.5,17
bbqChicken,bites,lg,2,1,0,5,junior,1,40
chickenBiriyani,main,lg,2,1,0,2,senior,3,40
submarine,appetizer,nm,3,1,0,1,junior,1,10
lavaCake,dessert,lg,5,0,1,3,senior,1,17
noodlesKothu,main,nm,4,1,0,4,senior,2,16
prawns chopsuey noodle,main,lg,2,0,1,5,senior,4,35
applePie,dessert,xl,2,0,0,2,senior,2,16
chickenKotthu,main,nm,2,1,0,2,senior,1,13
lavaCake,dessert,nm,3,0,1,2,senior,1,25
Devilled Mutton,appetizer,nm,5,0,1,3,senior,5,32
chickenFriedRice,main,nm,3,1,0,0,junior,4.5,28
devilledPork,main,xl,4,1,0,2,senior,1.5,35
Devilled Mutton,appetizer,nm,2,0,1,1,senior,1,20
bbqChicken,bites,nm,2,1,0,6,senior,2,25
Sweet and sour pork,main,nm,5,1,0,1,junior,7,46
devilledPrawns,bites,lg,4,1,0,7,senior,1,40
cilli cuttle fish,appetizer,nm,3,0,1,0,senior,3,15
applePie,dessert,nm,5,0,0,5,senior,7,40
vegetalbleKotthu,main,nm,1,0,1,0,senior,1,7
Hot butter mushroom,appetizer,nm,8,0,1,2,senior,3.5,30
Mixed Chopsuey Noodels,main,lg,3,1,0,0,junior,1.5,12
pepperPork,main,lg,5,0,1,1,senior,1,30
garlicBread,bites,nm,5,0,1,1,junior,1,15
breadPudding,dessert,nm,8,0,1,3,senior,2,40
devilledPork,main,nm,1,1,0,3,junior,2.5,30
chickenKotthu,main,lg,3,1,0,3,junior,1,24
devilledPork,main,lg,3,1,0,2,senior,5,40
cilli cuttle fish,appetizer,xl,4,0,1,2,senior,0.5,16
cheeseKotthu,main,xl,2,1,0,2,senior,1.5,18
nasiGoreng,main,lg,1,1,0,2,junior,5,35
chickenlasange,main,lg,1,1,0,1,senior,3.5,26
chickenFriedRice,main,lg,1,1,0,0,senior,0,25
cuttleFishDevil,bites,xl,5,1,0,1,senior,2,30
devilledChicken,main,nm,6,1,0,7,senior,2,50
noodlesKothu,main,lg,1,1,0,4,junior,4,27
chickenKotthu,main,lg,3,1,0,0,senior,0.5,23
cheeseSpagetti,main,xl,3,0,1,0,senior,1.5,49
garlicNaan,bites,xl,3,0,1,1,junior,2,26
cilli cuttle fish,appetizer,nm,3,0,1,0,senior,0,15
beefBurger,main,lg,3,1,0,3,junior,1.5,30
Vegetable Chopsuey Rice ,main,lg,5,0,1,0,senior,1,33
chickenBiriyani,main,nm,2,1,0,3,senior,4.5,60
chickenpasta,main,xl,2,1,0,0,junior,1,20
submarine,appetizer,nm,1,1,0,1,senior,1,5
pepperPork,main,nm,4,0,1,4,senior,4,35
chickenlasange,main,xl,2,1,0,1,senior,5,35
vegKotthu,main,lg,5,0,1,3,junior,1,11
egg fried rice,main,lg,2,1,0,2,senior,4,30
devilledChicken,main,nm,4,1,0,3,senior,1,30
cheeseKotthu,main,nm,10,1,0,0,junior,7,35
chickenWings,bites,xl,5,1,0,4,senior,5,40
prawns chopsuey noodle,main,xl,2,0,1,1,senior,0.5,20
applePie,dessert,lg,3,0,1,4,senior,1.5,25
chickenFriedRice,main,lg,2,1,0,1,senior,3,22
Beef Shawarma,bites,xl,1,1,0,0,senior,1,14
chickenBiriyani,main,nm,3,1,0,3,junior,2,65
porkKotthu,main,lg,2,1,0,0,senior,1,20
devilledChicken,main,lg,2,1,0,1,junior,2,35
